date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:18:32	143/143	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:35%20GMT	https://github.com/firstopinion/formatter.js/compare/mypebble:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/mypebble_master...828.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:33	150/150	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:36%20GMT	https://github.com/firstopinion/formatter.js/compare/neuron-packages:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/neuron-packages_master...829.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:35	146/146	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:37%20GMT	https://github.com/firstopinion/formatter.js/compare/nguoichiase:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/nguoichiase_master...82a.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:36	142/142	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:38%20GMT	https://github.com/firstopinion/formatter.js/compare/nofloor:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/nofloor_master...82b.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:37	141/141	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:40%20GMT	https://github.com/firstopinion/formatter.js/compare/noikiy:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/noikiy_master...82c.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:39	144/144	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:41%20GMT	https://github.com/firstopinion/formatter.js/compare/nora55974:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/nora55974_master...82d.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:40	141/141	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:42%20GMT	https://github.com/firstopinion/formatter.js/compare/nubley:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/nubley_master...82e.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:41	148/148	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:43%20GMT	https://github.com/firstopinion/formatter.js/compare/oggyindahouse:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/oggyindahouse_master...82f.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:42	141/141	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:45%20GMT	https://github.com/firstopinion/formatter.js/compare/oheard:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/oheard_master...830.delayed	(from https://github.com/firstopinion/formatter.js/compare)
04:18:43	141/141	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Dec%202016%2020:18:46%20GMT	https://github.com/firstopinion/formatter.js/compare/opoloo:master...master	C:/wamp64/www/httrack/template/materialize-admin/github.com/firstopinion/formatter.js/compare/opoloo_master...831.delayed	(from https://github.com/firstopinion/formatter.js/compare)
